A0: 178
2025-02-13 14:57:15.426276A1: 495
2025-02-13 14:57:15.426492A0: 178
2025-02-13 14:57:16.447485Ax: 1023
2025-02-13 14:57:16.447755A1: 496
2025-02-13 14:57:16.447896A0: 179
2025-02-13 14:57:17.471266Ax: 1023
2025-02-13 14:57:17.471499A1: 495
2025-02-13 14:57:17.471688A0: 179
2025-02-13 14:57:18.495163Ax: 1023
2025-02-13 14:57:18.495398A1: 496
2025-02-13 14:57:18.495586A0: 179
2025-02-13 14:57:19.519087Ax: 1023
2025-02-13 14:57:19.519322A1: 495
2025-02-13 14:57:19.519512A0: 179
2025-02-13 14:57:20.542773Ax: 1023
2025-02-13 14:57:20.545009A1: 495
2025-02-13 14:57:20.545115A0: 177
2025-02-13 14:57:21.566740Ax: 1023
2025-02-13 14:57:21.566997A1: 495
2025-02-13 14:57:21.567187A0: 179
2025-02-13 14:57:22.590581Ax: 1023
2025-02-13 14:57:22.590736A1: 495
2025-02-13 14:57:22.590835A0: 178
2025-02-13 14:57:23.614475Ax: 1023
2025-02-13 14:57:23.614769A1: 496
2025-02-13 14:57:23.614967A0: 178
2025-02-13 14:57:24.638307Ax: 1023
2025-02-13 14:57:24.638521A1: 495
2025-02-13 14:57:24.638619A0: 178
2025-02-13 14:57:25.662129Ax: 1023
2025-02-13 14:57:25.664352A1: 497
2025-02-13 14:57:25.664479A0: 179
2025-02-13 14:57:26.685806Ax: 1023
2025-02-13 14:57:26.686043A1: 496
2025-02-13 14:57:26.686227A0: 180
2025-02-13 14:57:27.709548Ax: 1023
2025-02-13 14:57:27.709847A1: 494
2025-02-13 14:57:27.710042A0: 179
2025-02-13 14:57:28.733303Ax: 1023
2025-02-13 14:57:28.733438A1: 497
2025-02-13 14:57:28.733535A0: 178
2025-02-13 14:57:29.757129Ax: 1023
2025-02-13 14:57:29.757330A1: 495
2025-02-13 14:57:29.757426A0: 179
2025-02-13 14:57:30.780802Ax: 1023
2025-02-13 14:57:30.782966A1: 496
2025-02-13 14:57:30.783074A0: 178
2025-02-13 14:57:31.804882Ax: 1023
2025-02-13 14:57:31.805119A1: 496
2025-02-13 14:57:31.805266A0: 178
2025-02-13 14:57:32.828351Ax: 1023
2025-02-13 14:57:32.828584A1: 493
2025-02-13 14:57:32.828811A0: 178
2025-02-13 14:57:33.852281Ax: 1023
2025-02-13 14:57:33.852517A1: 496
2025-02-13 14:57:33.852746A0: 177
2025-02-13 14:57:34.876185Ax: 1023
2025-02-13 14:57:34.876419A1: 496
2025-02-13 14:57:34.876611A0: 178
2025-02-13 14:57:35.900165Ax: 1023
2025-02-13 14:57:35.903122A1: 495
2025-02-13 14:57:35.903327A0: 178
2025-02-13 14:57:36.923807Ax: 1023
2025-02-13 14:57:36.923978A1: 496
2025-02-13 14:57:36.924076A0: 178
2025-02-13 14:57:37.947608Ax: 1023
2025-02-13 14:57:37.947917A1: 495
2025-02-13 14:57:37.948103A0: 178
2025-02-13 14:57:38.971578Ax: 1023
2025-02-13 14:57:38.971886A1: 496
2025-02-13 14:57:38.972070A0: 179
2025-02-13 14:57:39.995217Ax: 1023
2025-02-13 14:57:39.995447A1: 495
2025-02-13 14:57:39.995624A0: 179
2025-02-13 14:57:41.019122Ax: 1023
2025-02-13 14:57:41.019347A1: 496
2025-02-13 14:57:41.019525A0: 179
2025-02-13 14:57:42.042931Ax: 1023
2025-02-13 14:57:42.043160A1: 495
2025-02-13 14:57:42.043338A0: 179
2025-02-13 14:57:43.066687Ax: 1023
2025-02-13 14:57:43.066955A1: 496
2025-02-13 14:57:43.067142A0: 179
2025-02-13 14:57:44.090597Ax: 1023
2025-02-13 14:57:44.090786A1: 495
2025-02-13 14:57:44.090884A0: 178
2025-02-13 14:57:45.114497Ax: 1023
2025-02-13 14:57:45.114681A1: 495
2025-02-13 14:57:45.114798A0: 178
2025-02-13 14:57:46.138241Ax: 1023
2025-02-13 14:57:46.138476A1: 496
2025-02-13 14:57:46.138662A0: 177
2025-02-13 14:57:47.162164Ax: 1023
2025-02-13 14:57:47.164433A1: 496
2025-02-13 14:57:47.164550A0: 178
2025-02-13 14:57:48.186078Ax: 1023
2025-02-13 14:57:48.186313A1: 496
2025-02-13 14:57:48.186499A0: 179
2025-02-13 14:57:49.209592Ax: 1023
2025-02-13 14:57:49.209740A1: 496
2025-02-13 14:57:49.209842A0: 179
2025-02-13 14:57:50.233751Ax: 1023
2025-02-13 14:57:50.234004A1: 495
2025-02-13 14:57:50.234198A0: 178
2025-02-13 14:57:51.257446Ax: 1023
2025-02-13 14:57:51.257573A1: 496
2025-02-13 14:57:51.257676A0: 179
2025-02-13 14:57:52.281373Ax: 1023
2025-02-13 14:57:52.281526A1: 495
2025-02-13 14:57:52.281620A0: 179
2025-02-13 14:57:53.305225Ax: 1023
2025-02-13 14:57:53.305380A1: 496
2025-02-13 14:57:53.305474A0: 178
2025-02-13 14:57:54.329182Ax: 1023
2025-02-13 14:57:54.329336A1: 495
2025-02-13 14:57:54.329433A0: 178
2025-02-13 14:57:55.353097Ax: 1023
2025-02-13 14:57:55.353268A1: 496
2025-02-13 14:57:55.353364A0: 179
2025-02-13 14:57:56.376979Ax: 1023
2025-02-13 14:57:56.377178A1: 496
2025-02-13 14:57:56.377274A0: 177
2025-02-13 14:57:57.400857Ax: 1023
2025-02-13 14:57:57.403368A1: 496
2025-02-13 14:57:57.403587A0: 178
2025-02-13 14:57:58.424465Ax: 1023
2025-02-13 14:57:58.424743A1: 496
2025-02-13 14:57:58.424939A0: 178
2025-02-13 14:57:59.448507Ax: 1023
2025-02-13 14:57:59.448786A1: 496
2025-02-13 14:57:59.448982A0: 178
